booking_id,customer_id,customer_name,booking_type,booking_date,status,class_type,instructor,time_slot,duration_mins,price,facility,theme,service_name,service_type,customer_email,customer_phone
3d1b8bd1-6d92-4764-9942-9806167d5df3,d87071d6-c0f4-43d0-a5bc-c868fd5cf1b4,Customer 48,Facility,2025-06-22,Confirmed,N/A,N/A,Unknown,83.06,56.44,Party Room,N/A,Party Room,Facility,customer48@example.com,001-434-8833
8f0f2078-cbdf-48ca-81a9-c3fd6adae8ee,7fe06e42-caf2-4ac0-ae54-fb43e5c0c4d5,Customer 8,Birthday Party,2025-04-23,Confirmed,N/A,N/A,Unknown,83.06,282.96,Party Room,Princess,Party Room,Facility,customer8@example.com,001-826-6617
5c690e0c-ba14-451b-808f-fa93e9de5969,08ef08e2-f69d-4942-a339-02f8767183bb,Customer 143,Birthday Party,2025-04-29,Pending,N/A,N/A,Unknown,0.00,64.25,Play Area,Sports,Play Area,Class,customer143@example.com,001-877-2354
bd0de5a9-b88c-4b56-b2f2-4c16f762ace0,dad79f56-0347-4ec8-9628-ef1ea1d66e41,Customer 223,Birthday Party,2025-06-12,Pending,N/A,N/A,09:00,45.00,262.05,Party Room,Princess,Party Room,Birthday Party,customer223@example.com,001-343-1354
d9006359-5f98-4ac7-b333-52b5bbd15aee,7bc124b1-306e-4170-afe1-d3d19d42d0c2,Customer 227,Birthday Party,2025-04-02,Confirmed,N/A,N/A,10:00,90.00,105.56,Party Room,Sports,Party Room,Birthday Party,customer227@example.com,001-288-3961
e61b31e2-09b3-4dad-b9a6-9baaec0925b3,0e6122ed-61ed-4f26-8ab7-8c1a1dd84bb1,Customer 230,Birthday Party,2025-05-22,Confirmed,N/A,N/A,15:00,90.00,165.66,Play Area,Superhero,Play Area,Facility,customer230@example.com,001-491-9071
62fe0d01-34f6-45ff-9cf0-e24f969120c9,b65df4fd-b366-46aa-91c3-3e346c5c632c,Customer 451,Birthday Party,2025-05-13,Confirmed,N/A,N/A,Unknown,83.06,103.42,Play Area,Sports,Play Area,Class,customer451@example.com,001-382-1874
e0aa8b3d-f543-4151-8599-63c53e5c85d4,0dd71fb5-b5ea-4101-b795-75e940a378dc,Customer 826,Birthday Party,2025-04-01,Confirmed,N/A,N/A,Unknown,83.06,218.39,Party Room,Superhero,Party Room,Class,customer826@example.com,Not Provided
e04be9cc-0d19-4322-929f-7dbbc79515de,a94b2b0a-0810-4419-aad3-fdb007873cfd,Customer 13,Birthday Party,2025-06-11,Pending,N/A,N/A,Unknown,0.00,198.3,Play Area,Princess,Play Area,Birthday Party,customer13@example.com,001-731-5569
6fe4a4d1-8533-4981-acd5-860b9c381639,7d3d0421-66b7-434a-9357-ea2d222deab4,Customer 6,Birthday Party,2025-05-10,Confirmed,N/A,N/A,11:00,45.00,278.07,Party Room,Sports,Party Room,Facility,customer6@example.com,001-251-7580
